iter	Passed	Remaining
0	0	30
1	0	28
2	0	26
3	1	25
4	1	26
5	1	26
6	1	25
7	2	24
8	2	24
9	2	23
10	2	23
11	3	23
12	3	22
13	3	22
14	3	21
15	4	21
16	4	21
17	4	21
18	5	21
19	5	20
20	5	20
21	5	20
22	5	19
23	6	19
24	6	19
25	6	19
26	6	18
27	7	18
28	7	18
29	7	17
30	7	17
31	8	17
32	8	17
33	8	16
34	8	16
35	9	16
36	9	16
37	10	16
38	10	16
39	10	15
40	11	15
41	11	15
42	11	15
43	11	15
44	12	14
45	12	14
46	12	14
47	12	13
48	13	13
49	13	13
50	13	13
51	13	12
52	14	12
53	14	12
54	14	12
55	14	11
56	15	11
57	15	11
58	15	10
59	16	10
60	16	10
61	16	10
62	16	9
63	17	9
64	17	9
65	17	9
66	17	8
67	18	8
68	18	8
69	18	7
70	18	7
71	19	7
72	19	7
73	19	6
74	20	6
75	20	6
76	20	6
77	20	5
78	20	5
79	21	5
80	21	5
81	21	4
82	22	4
83	22	4
84	22	4
85	23	3
86	23	3
87	23	3
88	23	2
89	24	2
90	24	2
91	24	2
92	25	1
93	25	1
94	27	1
95	27	1
96	28	0
97	28	0
98	28	0
99	29	0
