iter	Passed	Remaining
0	58	58473
1	58	29388
2	59	19684
3	59	14834
4	59	11924
5	60	9985
6	60	8610
7	61	7569
8	61	6768
9	61	6120
10	62	5596
11	62	5158
12	62	4780
13	63	4457
14	63	4178
15	63	3933
16	64	3715
17	64	3521
18	64	3349
19	65	3193
20	65	3052
21	65	2923
22	66	2807
23	66	2701
24	66	2603
25	67	2512
26	67	2428
27	67	2352
28	68	2279
29	68	2222
30	69	2161
31	69	2104
32	69	2049
33	70	1995
34	70	1945
35	70	1897
36	71	1851
37	71	1807
38	71	1766
39	71	1726
40	72	1689
41	72	1653
42	72	1619
43	73	1586
44	73	1554
45	73	1524
46	73	1495
47	74	1468
48	74	1442
49	74	1416
50	74	1392
51	75	1369
52	75	1346
53	75	1326
54	75	1305
55	76	1287
56	76	1268
57	77	1251
58	77	1233
59	77	1218
60	78	1204
61	78	1190
62	79	1175
63	79	1160
64	79	1146
65	80	1133
66	80	1119
67	80	1107
68	81	1093
69	81	1081
70	81	1068
71	82	1057
72	82	1046
73	82	1035
74	83	1025
75	83	1016
76	84	1007
77	84	996
78	84	986
79	84	977
80	85	967
81	85	958
82	85	947
83	86	938
84	86	929
85	86	920
86	86	912
87	87	903
88	87	895
89	87	887
90	88	879
91	88	871
92	88	864
93	88	857
94	89	850
95	89	842
96	89	835
97	90	829
98	90	822
99	90	815
100	91	810
101	91	804
102	91	799
103	92	792
104	92	786
105	92	781
106	92	775
107	93	770
108	93	765
109	93	759
110	94	754
111	94	748
112	94	743
113	94	737
114	95	732
115	95	727
116	95	722
117	96	717
118	96	713
119	96	708
120	96	703
121	97	698
122	97	693
123	97	689
124	97	684
125	98	681
126	98	677
127	98	672
128	99	669
129	99	665
130	99	661
131	99	657
132	100	653
133	100	649
134	100	645
135	100	641
136	101	637
137	101	634
138	101	630
139	102	626
140	102	623
141	102	619
142	102	615
143	102	612
144	103	608
145	103	605
146	103	602
147	104	599
148	104	596
149	104	593
150	104	590
151	105	587
152	105	584
153	105	580
154	106	577
155	106	575
156	106	572
157	106	569
158	107	566
159	107	563
160	107	560
161	107	557
162	108	554
163	108	552
164	108	549
165	109	547
166	109	545
167	109	542
168	109	540
169	110	538
170	110	535
171	110	533
172	111	531
173	111	529
174	111	527
175	112	524
176	112	522
177	112	520
178	113	518
179	113	516
180	113	513
181	113	511
182	114	509
183	114	507
184	114	505
185	114	503
186	115	501
187	115	498
188	115	496
